Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Leader_speed;Braking_deceleration;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min;controller
48;16.0;22.0;0.7;10;100;8;Successful;Effective;collision;20.04;vtypeauto.1;vtypeauto.0;662.46;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-9.0;0.55;-9.0;CACC
49;16.0;22.0;0.8;5;80;5;Successful;Effective;collision;19.39;vtypeauto.1;vtypeauto.0;513.04;edge_0_0_0;0.0;-5.0;0.2;-6.26;0.32;-6.97;0.38;-7.26;0.41;-7.29;0.43;-6.79;0.44;-5.98;0.44;-6.0;CACC
50;16.0;22.0;0.8;8;80;5;Successful;Effective;collision;20.65;vtypeauto.1;vtypeauto.0;546.02;edge_0_0_0;0.0;-5.0;0.2;-6.26;0.32;-6.97;0.38;-7.26;0.41;-7.27;0.43;-6.64;0.44;-5.96;0.44;-5.96;CACC
51;16.0;22.0;0.8;10;80;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-6.26;0.32;-6.97;0.38;-7.26;0.41;-7.27;0.43;-6.64;0.44;-5.96;0.44;-5.96;CACC
52;16.0;22.0;0.8;5;100;5;Successful;Effective;collision;19.45;vtypeauto.1;vtypeauto.0;627.95;edge_0_0_0;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;0.51;-7.3;0.54;-6.94;0.55;-6.45;0.55;-6.22;CACC
53;16.0;22.0;0.8;8;100;5;Successful;Effective;collision;20.76;vtypeauto.1;vtypeauto.0;668.14;edge_0_0_0;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;0.51;-7.29;0.54;-6.94;0.55;-6.42;0.55;-6.22;CACC
54;16.0;22.0;0.8;10;100;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.26;0.39;-6.98;0.47;-7.27;0.51;-7.29;0.54;-6.96;0.55;-6.44;0.55;-6.23;CACC
55;16.0;22.0;0.8;5;80;6;Successful;Effective;collision;19.10;vtypeauto.1;vtypeauto.0;507.75;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.32;-8.36;0.38;-8.71;0.41;-8.64;0.43;-7.86;0.44;-7.08;0.44;-7.13;CACC
56;16.0;22.0;0.8;8;80;6;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;537.10;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.32;-8.36;0.38;-8.71;0.41;-8.64;0.43;-7.86;0.44;-7.08;0.44;-7.13;CACC
57;16.0;22.0;0.8;10;80;6;Successful;Effective;collision;20.81;vtypeauto.1;vtypeauto.0;555.32;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.32;-8.36;0.38;-8.71;0.41;-8.64;0.43;-7.86;0.44;-7.08;0.44;-7.13;CACC
58;16.0;22.0;0.8;5;100;6;Successful;Effective;collision;19.15;vtypeauto.1;vtypeauto.0;620.86;edge_0_0_0;0.0;-6.0;0.25;-7.51;0.39;-8.37;0.47;-8.72;0.51;-8.75;0.54;-8.22;0.55;-7.51;0.55;-7.25;CACC
59;16.0;22.0;0.8;8;100;6;Successful;Effective;collision;20.00;vtypeauto.1;vtypeauto.0;654.75;edge_0_0_0;0.0;-6.0;0.25;-7.51;0.39;-8.37;0.47;-8.72;0.51;-8.75;0.54;-7.97;0.55;-7.33;0.55;-7.22;CACC
60;16.0;22.0;0.8;10;100;6;Successful;Effective;collision;20.90;vtypeauto.1;vtypeauto.0;677.71;edge_0_0_0;0.0;-6.0;0.25;-7.51;0.39;-8.37;0.47;-8.72;0.51;-8.75;0.54;-7.97;0.55;-7.17;0.55;-7.16;CACC
